country,iso3,year,wb_attendance_ratio
Guyana,GUY,2015,
Haiti,HTI,2015,
Honduras,HND,2015,23.5655307769775
Jamaica,JAM,2015,33.6531715393066
Mexico,MEX,2015,31.771110534668
Nicaragua,NIC,2015,19.7698059082031
Panama,PAN,2015,58.8828887939453
Paraguay,PRY,2015,
Peru,PER,2015,
Puerto Rico,PRI,2015,113.951560974121
Sint Maarten (Dutch part),SXM,2015,6.95971012115479
St. Kitts and Nevis,KNA,2015,120.796691894531
St. Lucia,LCA,2015,22.7000694274902
St. Martin (French part),MAF,2015,
St. Vincent and the Grenadines,VCT,2015,29.871280670166
Suriname,SUR,2015,
Trinidad and Tobago,TTO,2015,
Turks and Caicos Islands,TCA,2015,
Uruguay,URY,2015,
"Venezuela, RB",VEN,2015,
Virgin Islands (U.S.),VIR,2015,
Antigua and Barbuda,ATG,2016,
Argentina,ARG,2016,109.32640838623
Aruba,ABW,2016,23.3965702056885
"Bahamas, The",BHS,2016,
Barbados,BRB,2016,
Belize,BLZ,2016,30.2885093688965
Bermuda,BMU,2016,
Bolivia,BOL,2016,
Brazil,BRA,2016,55.7252883911133
British Virgin Islands,VGB,2016,50.8982009887695
Cayman Islands,CYM,2016,
Chile,CHL,2016,94.3506622314453
Colombia,COL,2016,61.3053016662598
Costa Rica,CRI,2016,58.1474685668945
Cuba,CUB,2016,40.337329864502
Curacao,CUW,2016,
Dominica,DMA,2016,
Dominican Republic,DOM,2016,69.9590682983398
Ecuador,ECU,2016,
El Salvador,SLV,2016,29.5919609069824
Grenada,GRD,2016,105.445030212402
Guatemala,GTM,2016,16.2483196258545
Guyana,GUY,2016,
Haiti,HTI,2016,
Honduras,HND,2016,24.4611206054688
Jamaica,JAM,2016,
Mexico,MEX,2016,38.8265113830566
Nicaragua,NIC,2016,19.4017887115479
Panama,PAN,2016,59.8679008483887
Paraguay,PRY,2016,
Peru,PER,2016,74.6067581176758
Puerto Rico,PRI,2016,114.78002166748
Sint Maarten (Dutch part),SXM,2016,
St. Kitts and Nevis,KNA,2016,
St. Lucia,LCA,2016,26.6294002532959
St. Martin (French part),MAF,2016,
St. Vincent and the Grenadines,VCT,2016,35.3810615539551
Suriname,SUR,2016,
Trinidad and Tobago,TTO,2016,
Turks and Caicos Islands,TCA,2016,
Uruguay,URY,2016,
"Venezuela, RB",VEN,2016,
Virgin Islands (U.S.),VIR,2016,
Antigua and Barbuda,ATG,2017,
Argentina,ARG,2017,112.828277587891
Aruba,ABW,2017,
"Bahamas, The",BHS,2017,
Barbados,BRB,2017,
Belize,BLZ,2017,30.9094791412354
Bermuda,BMU,2017,27.8481006622314
Bolivia,BOL,2017,
Brazil,BRA,2017,57.3723411560059
British Virgin Islands,VGB,2017,
Cayman Islands,CYM,2017,
Chile,CHL,2017,96.2910690307617
Colombia,COL,2017,62.7340698242188
Costa Rica,CRI,2017,61.1648216247559
Cuba,CUB,2017,51.0622787475586
Curacao,CUW,2017,
Dominica,DMA,2017,
Dominican Republic,DOM,2017,77.0124206542969
Ecuador,ECU,2017,
El Salvador,SLV,2017,30.0432205200195
Grenada,GRD,2017,106.00594329834
Guatemala,GTM,2017,17.2121753692627
Guyana,GUY,2017,
Haiti,HTI,2017,
Honduras,HND,2017,28.3683204650879
Jamaica,JAM,2017,
Mexico,MEX,2017,40.8725509643555
Nicaragua,NIC,2017,
Panama,PAN,2017,
Paraguay,PRY,2017,
Peru,PER,2017,73.859016418457
Puerto Rico,PRI,2017,
Sint Maarten (Dutch part),SXM,2017,6.62377023696899
St. Kitts and Nevis,KNA,2017,
St. Lucia,LCA,2017,28.0642700195312
St. Martin (French part),MAF,2017,
St. Vincent and the Grenadines,VCT,2017,38.0803451538086
Suriname,SUR,2017,
Trinidad and Tobago,TTO,2017,
Turks and Caicos Islands,TCA,2017,
Uruguay,URY,2017,
"Venezuela, RB",VEN,2017,
Virgin Islands (U.S.),VIR,2017,
Antigua and Barbuda,ATG,2018,
Argentina,ARG,2018,114.81436920166
Aruba,ABW,2018,
"Bahamas, The",BHS,2018,
Barbados,BRB,2018,
Belize,BLZ,2018,30.9391994476318
Bermuda,BMU,2018,26.5950698852539
Bolivia,BOL,2018,
Brazil,BRA,2018,59.1007804870605
British Virgin Islands,VGB,2018,21.4700202941895
Cayman Islands,CYM,2018,
Chile,CHL,2018,98.3041305541992
Colombia,COL,2018,61.5423316955566
Costa Rica,CRI,2018,58.2489585876465
Cuba,CUB,2018,51.3543586730957
Curacao,CUW,2018,
Dominica,DMA,2018,
Dominican Republic,DOM,2018,
Ecuador,ECU,2018,50.5705490112305
El Salvador,SLV,2018,30.8037109375
Grenada,GRD,2018,108.711471557617
Guatemala,GTM,2018,17.859546661377
Guyana,GUY,2018,
Haiti,HTI,2018,
Honduras,HND,2018,30.4485702514648
Jamaica,JAM,2018,
Mexico,MEX,2018,42.5822601318359
Nicaragua,NIC,2018,21.4665660858154
Panama,PAN,2018,
Paraguay,PRY,2018,
Peru,PER,2018,
Puerto Rico,PRI,2018,117.870948791504
Sint Maarten (Dutch part),SXM,2018,
St. Kitts and Nevis,KNA,2018,
St. Lucia,LCA,2018,19.7136402130127
St. Martin (French part),MAF,2018,
St. Vincent and the Grenadines,VCT,2018,38.4462661743164
Suriname,SUR,2018,
Trinidad and Tobago,TTO,2018,
Turks and Caicos Islands,TCA,2018,15.8493251800537
Uruguay,URY,2018,
"Venezuela, RB",VEN,2018,
Virgin Islands (U.S.),VIR,2018,
Antigua and Barbuda,ATG,2019,
Argentina,ARG,2019,120.815391540527
Aruba,ABW,2019,
"Bahamas, The",BHS,2019,
Barbados,BRB,2019,
Belize,BLZ,2019,31.7907390594482
Bermuda,BMU,2019,
Bolivia,BOL,2019,
Brazil,BRA,2019,60.9915390014648
British Virgin Islands,VGB,2019,33.7429084777832
Cayman Islands,CYM,2019,
Chile,CHL,2019,99.3416137695312
Colombia,COL,2019,60.5142288208008
Costa Rica,CRI,2019,60.4686889648438
Cuba,CUB,2019,55.3528099060059
Curacao,CUW,2019,
Dominica,DMA,2019,
Dominican Republic,DOM,2019,
Ecuador,ECU,2019,50.8938789367676
El Salvador,SLV,2019,31.3250598907471
Grenada,GRD,2019,
Guatemala,GTM,2019,24.2425003051758
Guyana,GUY,2019,
Haiti,HTI,2019,
Honduras,HND,2019,29.4035091400146
Jamaica,JAM,2019,
Mexico,MEX,2019,44.3526802062988
Nicaragua,NIC,2019,19.8988819122314
Panama,PAN,2019,
Paraguay,PRY,2019,
Peru,PER,2019,
Puerto Rico,PRI,2019,
Sint Maarten (Dutch part),SXM,2019,
St. Kitts and Nevis,KNA,2019,
St. Lucia,LCA,2019,21.975170135498
St. Martin (French part),MAF,2019,
St. Vincent and the Grenadines,VCT,2019,45.2089691162109
Suriname,SUR,2019,
Trinidad and Tobago,TTO,2019,
Turks and Caicos Islands,TCA,2019,15.6972665786743
Uruguay,URY,2019,
"Venezuela, RB",VEN,2019,
Virgin Islands (U.S.),VIR,2019,
Antigua and Barbuda,ATG,2020,
Argentina,ARG,2020,127.155448913574
Aruba,ABW,2020,
"Bahamas, The",BHS,2020,
Barbados,BRB,2020,
Belize,BLZ,2020,32.7702713012695
Bermuda,BMU,2020,
Bolivia,BOL,2020,
Brazil,BRA,2020,64.5541915893555
British Virgin Islands,VGB,2020,41.6353416442871
Cayman Islands,CYM,2020,
Chile,CHL,2020,96.7710113525391
Colombia,COL,2020,59.8424797058105
Costa Rica,CRI,2020,
Cuba,CUB,2020,59.9180793762207
Curacao,CUW,2020,
Dominica,DMA,2020,
Dominican Republic,DOM,2020,76.272819519043
Ecuador,ECU,2020,63.1782112121582
El Salvador,SLV,2020,34.0673217773438
Grenada,GRD,2020,
Guatemala,GTM,2020,19.6749897003174
Guyana,GUY,2020,
Haiti,HTI,2020,
Honduras,HND,2020,
Jamaica,JAM,2020,
Mexico,MEX,2020,47.0619583129883
Nicaragua,NIC,2020,20.8144969940186
Panama,PAN,2020,55.2825393676758
Paraguay,PRY,2020,
Peru,PER,2020,
Puerto Rico,PRI,2020,
Sint Maarten (Dutch part),SXM,2020,
St. Kitts and Nevis,KNA,2020,
St. Lucia,LCA,2020,23.0109596252441
St. Martin (French part),MAF,2020,
St. Vincent and the Grenadines,VCT,2020,49.437614440918
Suriname,SUR,2020,
Trinidad and Tobago,TTO,2020,
Turks and Caicos Islands,TCA,2020,
Uruguay,URY,2020,
"Venezuela, RB",VEN,2020,
Virgin Islands (U.S.),VIR,2020,
Antigua and Barbuda,ATG,2021,
Argentina,ARG,2021,140.297622680664
Aruba,ABW,2021,
"Bahamas, The",BHS,2021,
Barbados,BRB,2021,
Belize,BLZ,2021,29.7305603027344
Bermuda,BMU,2021,
Bolivia,BOL,2021,
Brazil,BRA,2021,67.8096771240234
British Virgin Islands,VGB,2021,41.4018707275391
Cayman Islands,CYM,2021,
Chile,CHL,2021,105.963073730469
Colombia,COL,2021,63.1630516052246
Costa Rica,CRI,2021,
Cuba,CUB,2021,66.953239440918
Curacao,CUW,2021,
Dominica,DMA,2021,
Dominican Republic,DOM,2021,74.7958526611328
Ecuador,ECU,2021,
El Salvador,SLV,2021,34.1079483032227
Grenada,GRD,2021,
Guatemala,GTM,2021,
Guyana,GUY,2021,
Haiti,HTI,2021,
Honduras,HND,2021,
Jamaica,JAM,2021,
Mexico,MEX,2021,48.4712982177734
Nicaragua,NIC,2021,22.4531841278076
Panama,PAN,2021,65.4109191894531
Paraguay,PRY,2021,
Peru,PER,2021,
Puerto Rico,PRI,2021,
Sint Maarten (Dutch part),SXM,2021,
St. Kitts and Nevis,KNA,2021,
St. Lucia,LCA,2021,
St. Martin (French part),MAF,2021,
St. Vincent and the Grenadines,VCT,2021,55.3751983642578
Suriname,SUR,2021,11.70631980896
Trinidad and Tobago,TTO,2021,
Turks and Caicos Islands,TCA,2021,
Uruguay,URY,2021,97.0524597167969
"Venezuela, RB",VEN,2021,
Virgin Islands (U.S.),VIR,2021,
Antigua and Barbuda,ATG,2022,
Argentina,ARG,2022,140.055480957031
Aruba,ABW,2022,
"Bahamas, The",BHS,2022,
Barbados,BRB,2022,
Belize,BLZ,2022,30.8004302978516
Bermuda,BMU,2022,
Bolivia,BOL,2022,
Brazil,BRA,2022,71.9278106689453
British Virgin Islands,VGB,2022,39.2082901000977
Cayman Islands,CYM,2022,
Chile,CHL,2022,108.697647094727
Colombia,COL,2022,64.3223495483398
Costa Rica,CRI,2022,
Cuba,CUB,2022,56.0084571838379
Curacao,CUW,2022,
Dominica,DMA,2022,
Dominican Republic,DOM,2022,72.9061813354492
Ecuador,ECU,2022,66.8177795410156
El Salvador,SLV,2022,36.054370880127
Grenada,GRD,2022,
Guatemala,GTM,2022,
Guyana,GUY,2022,
Haiti,HTI,2022,
Honduras,HND,2022,
Jamaica,JAM,2022,
Mexico,MEX,2022,50.2553291320801
Nicaragua,NIC,2022,22.3161697387695
Panama,PAN,2022,72.1950988769531
Paraguay,PRY,2022,
Peru,PER,2022,
Puerto Rico,PRI,2022,
Sint Maarten (Dutch part),SXM,2022,5.66910982131958
St. Kitts and Nevis,KNA,2022,
St. Lucia,LCA,2022,22.5474090576172
St. Martin (French part),MAF,2022,
St. Vincent and the Grenadines,VCT,2022,62.5
Suriname,SUR,2022,8.06494045257568
Trinidad and Tobago,TTO,2022,
Turks and Caicos Islands,TCA,2022,23.4918403625488
Uruguay,URY,2022,97.5693893432617
"Venezuela, RB",VEN,2022,
Virgin Islands (U.S.),VIR,2022,
Antigua and Barbuda,ATG,2023,
Argentina,ARG,2023,
Aruba,ABW,2023,
"Bahamas, The",BHS,2023,
Barbados,BRB,2023,
Belize,BLZ,2023,29.3550491333008
Bermuda,BMU,2023,20.3681697845459
Bolivia,BOL,2023,
Brazil,BRA,2023,
British Virgin Islands,VGB,2023,36.329231262207
Cayman Islands,CYM,2023,
Chile,CHL,2023,
Colombia,COL,2023,
Costa Rica,CRI,2023,
Cuba,CUB,2023,64.5313491821289
Curacao,CUW,2023,
Dominica,DMA,2023,
Dominican Republic,DOM,2023,
Ecuador,ECU,2023,
El Salvador,SLV,2023,37.1727981567383
Grenada,GRD,2023,
Guatemala,GTM,2023,30.5179500579834
Guyana,GUY,2023,
Haiti,HTI,2023,
Honduras,HND,2023,
Jamaica,JAM,2023,
Mexico,MEX,2023,
Nicaragua,NIC,2023,34.649658203125
Panama,PAN,2023,
Paraguay,PRY,2023,
Peru,PER,2023,
Puerto Rico,PRI,2023,100.559219360352
Sint Maarten (Dutch part),SXM,2023,6.10878992080688
St. Kitts and Nevis,KNA,2023,
St. Lucia,LCA,2023,
St. Martin (French part),MAF,2023,
St. Vincent and the Grenadines,VCT,2023,
Suriname,SUR,2023,
Trinidad and Tobago,TTO,2023,
Turks and Caicos Islands,TCA,2023,33.1192016601562
Uruguay,URY,2023,
"Venezuela, RB",VEN,2023,
Virgin Islands (U.S.),VIR,2023,
Antigua and Barbuda,ATG,2024,
Argentina,ARG,2024,
Aruba,ABW,2024,
"Bahamas, The",BHS,2024,
Barbados,BRB,2024,
Belize,BLZ,2024,
Bermuda,BMU,2024,
Bolivia,BOL,2024,
Brazil,BRA,2024,
British Virgin Islands,VGB,2024,
Cayman Islands,CYM,2024,
Chile,CHL,2024,
Colombia,COL,2024,
Costa Rica,CRI,2024,
Cuba,CUB,2024,
Curacao,CUW,2024,
Dominica,DMA,2024,
Dominican Republic,DOM,2024,
Ecuador,ECU,2024,
El Salvador,SLV,2024,
Grenada,GRD,2024,
Guatemala,GTM,2024,
Guyana,GUY,2024,
Haiti,HTI,2024,
Honduras,HND,2024,
Jamaica,JAM,2024,
Mexico,MEX,2024,
Nicaragua,NIC,2024,
Panama,PAN,2024,
Paraguay,PRY,2024,
Peru,PER,2024,
Puerto Rico,PRI,2024,
Sint Maarten (Dutch part),SXM,2024,
St. Kitts and Nevis,KNA,2024,
St. Lucia,LCA,2024,
St. Martin (French part),MAF,2024,
St. Vincent and the Grenadines,VCT,2024,
Suriname,SUR,2024,
Trinidad and Tobago,TTO,2024,
Turks and Caicos Islands,TCA,2024,
Uruguay,URY,2024,
"Venezuela, RB",VEN,2024,
Virgin Islands (U.S.),VIR,2024,
