year,field,germans_male,germans_female,germans_total,foreigners_male,foreigners_female,foreigners_total,total_male,total_female,general_total
2013,Media Economics/Media Management,2736,4563,7299,167,331,498,2903,4894,7797
2013,Media Science,3467,6598,10065,294,861,1155,3761,7459,11220
2013,Medicine (General Medicine),29132,47002,76134,4878,5364,10242,34010,52366,86376
2013,Medical Informatics,1227,784,2011,221,268,489,1448,1052,2500
2013,Metals Technology,631,113,744,5,4,9,636,117,753
2013,Meteorology,865,569,1434,61,66,127,926,635,1561
2013,Microelectronics,79,4,83,76,26,102,155,30,185
2013,Microsystems Technology,1515,240,1755,624,157,781,2139,397,2536
2013,Dairy Farming,37,61,98,3,10,13,40,71,111
2013,Mineralogy,60,45,105,20,17,37,80,62,142
2013,Medieval and Modern History,998,647,1645,73,69,142,1071,716,1787
2013,Music Education,3224,4193,7417,206,449,655,3430,4642,8072
2013,Musicology/History of Music,2398,2554,4952,274,495,769,2672,3049,5721
2013,Nature Conservation,325,483,808,104,148,252,429,631,1060
2013,Nautical Science/Maritime Studies,1234,245,1479,34,11,45,1268,256,1524
2013,New Media,812,600,1412,143,148,291,955,748,1703
2013,Modern Greek,9,24,33,17,36,53,26,60,86
2013,Non-medical Healthcare Professions/Therapies,1518,5871,7389,136,307,443,1654,6178,7832
2013,Low German,3,5,8,1,,1,4,5,9
2013,Dutch,156,291,447,18,35,53,174,326,500
2013,"Nordic/Scand. St. (Nord. Phil., ind. lang. n.e.c.)",430,1204,1634,28,113,141,458,1317,1775
2013,Optoelectronics,592,152,744,120,26,146,712,178,890
2013,Orchestral Music,393,387,780,358,474,832,751,861,1612
2013,"Oriental Studies, Ancient Oriental Studies",535,837,1372,116,203,319,651,1040,1691
2013,Eastern and South Eastern Europe Studies,228,411,639,46,141,187,274,552,826
2013,Oceanography,12,8,20,10,9,19,22,17,39
2013,Early Childhood Education,148,1097,1245,5,57,62,153,1154,1307
2013,Plant Production,320,260,580,13,11,24,333,271,604
2013,Nursing Science/Nursing Management,2418,7157,9575,65,283,348,2483,7440,9923
2013,Pharmacy,3754,9054,12808,662,1162,1824,4416,10216,14632
2013,Philosophy,8892,6127,15019,1200,896,2096,10092,7023,17115
2013,Physics,31204,10036,41240,3232,1430,4662,34436,11466,45902
2013,Engineering Physics/Mechanical Process Engineering,3148,622,3770,499,124,623,3647,746,4393
2013,Political Science,15568,10338,25906,1993,2391,4384,17561,12729,30290
2013,Police/Protection of the Constitution,9103,4670,13773,70,32,102,9173,4702,13875
2013,Polish,40,105,145,9,43,52,49,148,197
2013,Portuguese,19,86,105,14,48,62,33,134,167
2013,Psychology,13998,42025,56023,911,3373,4284,14909,45398,60307
2013,Spatial Planning,2363,2359,4722,322,476,798,2685,2835,5520
2013,Administration of Justice,800,1193,1993,,,,800,1193,1993
2013,Law,45170,51952,97122,3631,6446,10077,48801,58398,107199
2013,Renewable Energy,538,114,652,134,45,179,672,159,831
2013,Religious Studies,599,1050,1649,105,150,255,704,1200,1904
2013,Restoration Studies,204,821,1025,11,56,67,215,877,1092
2013,Rhythmics,5,20,25,2,12,14,7,32,39
2013,"Romance Studies (Rom. Phil., indiv. lang. n.e.c.)",752,3203,3955,285,1063,1348,1037,4266,5303
2013,Russian,257,746,1003,64,315,379,321,1061,1382
2013,General Studies (including School Garden),28,163,191,1,2,3,29,165,194
2013,Drama Studies,266,235,501,24,29,53,290,264,554
2013,Naval Architecture/Ship Technology,816,146,962,114,14,128,930,160,1090
2013,School Pedagogy,291,500,791,26,27,53,317,527,844
2013,Sinology/Korean Studies,1136,1696,2832,138,444,582,1274,2140,3414
2013,Slavic Studies (Slavic Philology),476,1144,1620,135,746,881,611,1890,2501
2013,Special Needs Education,1081,5476,6557,19,185,204,1100,5661,6761
2013,Other subjects,633,1017,1650,508,620,1128,1141,1637,2778
2013,Other regional studies,153,262,415,34,80,114,187,342,529
2013,Sorabistics,10,21,31,1,4,5,11,25,36
2013,Social Work,8435,26454,34889,438,1565,2003,8873,28019,36892
2013,Social Studies,1658,1566,3224,55,99,154,1713,1665,3378
2013,Social Pedagogy,1229,5191,6420,30,145,175,1259,5336,6595
2013,Social Security Administration,536,1167,1703,4,1,5,540,1168,1708
2013,Applied Social Science,5303,17653,22956,210,854,1064,5513,18507,24020
2013,Social Sciences,7667,9815,17482,649,1250,1899,8316,11065,19381
2013,Sociology,6788,10506,17294,529,1327,1856,7317,11833,19150
2013,Spanish,1254,4651,5905,255,713,968,1509,5364,6873
2013,Sports Management/Sports Economics,2253,942,3195,117,51,168,2370,993,3363
2013,Sports Education/Sports Psychology,6258,4520,10778,240,142,382,6498,4662,11160
2013,Sports Science,10225,5942,16167,503,233,736,10728,6175,16903
2013,Speech Therapy/Logopedics (cl.w. SF190 since 2016),58,917,975,1,21,22,59,938,997
2013,Steel Construction,36,1,37,,,,36,1,37
2013,"South Slavic (Bulgar., Serbo-Croat., Slovene etc.)",9,26,35,7,13,20,16,39,55
2013,Dance Education,39,143,182,53,128,181,92,271,363
2013,Technical Cybernetics,444,86,530,29,10,39,473,96,569
2013,Technomathematics,1207,334,1541,68,39,107,1275,373,1648
2013,Textile Design,285,2844,3129,61,406,467,346,3250,3596
2013,Textile and Clothing Technology/Industry,282,2376,2658,196,308,504,478,2684,3162
2013,Theatre Studies,743,2172,2915,68,287,355,811,2459,3270
2013,Veterinary Medicine,1098,6475,7573,200,388,588,1298,6863,8161
2013,Animal Production,58,161,219,16,17,33,74,178,252
2013,Sound Engineering,285,33,318,29,13,42,314,46,360
2013,Tourism Management,1325,6288,7613,236,716,952,1561,7004,8565
2013,Transport and Conveying Technology,390,26,416,69,17,86,459,43,502
2013,Czech,8,16,24,,7,7,8,23,31
2013,Turkish Studies,67,200,267,56,103,159,123,303,426
2013,Environmental Protection,1366,1193,2559,288,245,533,1654,1438,3092
2013,Environmental Technology (including Recycling),6355,2847,9202,584,499,1083,6939,3346,10285
2013,Prehistory and Early History,465,567,1032,34,43,77,499,610,1109
2013,Process Engineering,6915,3499,10414,853,686,1539,7768,4185,11953
2013,Ed.of P.w.Behav.Disorders (cl.w. SF190 since 2016),134,556,690,,14,14,134,570,704
2013,Transport Engineering,3685,1022,4707,431,171,602,4116,1193,5309
2013,Transport Economics,1228,667,1895,111,103,214,1339,770,2109
2013,Surveying (Geodesy),3300,1332,4632,495,285,780,3795,1617,5412
2013,Supply Technology,3377,410,3787,196,74,270,3573,484,4057
2013,Administrative Science/Public Administration,4912,6420,11332,219,309,528,5131,6729,11860
2013,Folklore,476,1415,1891,36,146,182,512,1561,2073
2013,Economics,13011,5844,18855,1734,1983,3717,14745,7827,22572
2013,Hydraulic Engineering,733,417,1150,63,71,134,796,488,1284
2013,Water Management,838,475,1313,218,185,403,1056,660,1716
2013,Viticulture and Oenology,605,288,893,73,36,109,678,324,1002
2013,Handicrafts (technical)/Technology,180,242,422,9,14,23,189,256,445
2013,Handicrafts Education,26,52,78,,,,26,52,78
2013,Materials Technology,4883,1398,6281,894,433,1327,5777,1831,7608
2013,Western Slavic (general and n.e.c.),32,43,75,9,47,56,41,90,131
2013,Economic/Social Geography,224,212,436,8,20,28,232,232,464
2013,Economic/Social History,99,90,189,7,16,23,106,106,212
2013,Business Informatics,36037,7832,43869,3663,2120,5783,39700,9952,49652
2013,Business Engineering spec. in Engineering Sciences,40513,9488,50001,3862,2003,5865,44375,11491,55866
2013,Business Engineering specialising in Economics,28285,8868,37153,2914,1501,4415,31199,10369,41568
2013,Business Mathematics,4363,2793,7156,498,650,1148,4861,3443,8304
2013,Business and Economics Education,2607,4444,7051,91,232,323,2698,4676,7374
2013,Business Law,8524,9313,17837,555,932,1487,9079,10245,19324
2013,Business and Economics,45379,34523,79902,4289,5677,9966,49668,40200,89868
2013,History of Science/History of Technology,37,19,56,5,18,23,42,37,79
2013,Dentistry,4579,8294,12873,877,1070,1947,5456,9364,14820
2013,Customs and Tax Administration,1867,2290,4157,1,1,2,1868,2291,4159
2014,Waste Management,61,31,92,6,2,8,67,33,100
2014,African Studies,388,764,1152,202,196,398,590,960,1550
2014,Agricultural Biology,149,212,361,108,81,189,257,293,550
2014,Agricultural Economics,741,582,1323,218,189,407,959,771,1730
2014,Agricultural Science/Agriculture,7993,7427,15420,1023,894,1917,9016,8321,17337
2014,Egyptology,145,332,477,23,36,59,168,368,536
2014,General Linguistics/Indo-European Studies,1332,4169,5501,276,939,1215,1608,5108,6716
2014,General Literary Studies,836,2907,3743,157,528,685,993,3435,4428
2014,Ancient History,157,119,276,27,21,48,184,140,324
2014,American Studies,936,2095,3031,185,487,672,1121,2582,3703
2014,Applied Art,1432,2319,3751,216,288,504,1648,2607,4255
2014,Applied Linguistics,896,3895,4791,218,787,1005,1114,4682,5796
2014,Applied Systems Science,1612,317,1929,375,131,506,1987,448,2435
2014,English Studies,12003,30226,42229,1099,3433,4532,13102,33659,46761
2014,Anthropology (Human Biology),158,336,494,59,91,150,217,427,644
2014,Arabic/Arabic Studies,209,353,562,72,48,120,281,401,682
2014,Work Studies/Business Studies,846,1326,2172,21,55,76,867,1381,2248
2014,Occupational Guidance and Career Counselling,39,161,200,,2,2,39,163,202
2014,Labour Administration,220,578,798,2,6,8,222,584,806
2014,Archaeology,2329,2798,5127,189,278,467,2518,3076,5594
2014,Archaeometry (Archaeological Engineering),25,17,42,,,,25,17,42
2014,Architecture,13529,16119,29648,2915,4103,7018,16444,20222,36666
2014,Archive and Documentation Science,116,197,313,13,25,38,129,222,351
2014,Archive Studies,92,125,217,4,8,12,96,133,229
2014,Asian Languages and Cultures/Asian Studies,639,1154,1793,153,350,503,792,1504,2296
2014,Astrophysics and Astronomy,208,67,275,112,70,182,320,137,457
2014,Ophthalmic Optics,217,557,774,31,29,60,248,586,834
2014,Immigrant Education,20,145,165,22,47,69,42,192,234
2014,Non-Europ. Lang. and Cult. in Oceania and America,82,156,238,36,69,105,118,225,343
2014,Foreign Affairs Administration,46,110,156,,,,46,110,156
2014,Baltic Studies,5,4,9,,2,2,5,6,11
2014,Banking,368,255,623,2,4,6,370,259,629
2014,Civil Engineering/Structural Engineering,32597,12492,45089,5994,2494,8488,38591,14986,53577
2014,Mining/Mine Engineering,1279,197,1476,342,78,420,1621,275,1896
2014,Occupation-specific Foreign Language Training,454,1238,1692,80,270,350,534,1508,2042
2014,"Vocational, Business and Economics Education",712,802,1514,60,97,157,772,899,1671
2014,Business Administration,109394,98351,207745,10409,13633,24042,119803,111984,231787
2014,Librarianship,10,29,39,,,,10,29,39
2014,Fine Arts/Graphics,1235,1573,2808,344,584,928,1579,2157,3736
2014,Sculpting/Statuary Art,161,200,361,52,130,182,213,330,543
2014,Biochemistry,3191,3883,7074,389,493,882,3580,4376,7956
2014,Bioinformatics,1133,586,1719,208,161,369,1341,747,2088
2014,Biology,16941,29618,46559,2344,3402,5746,19285,33020,52305
2014,Biomedicine,493,948,1441,183,250,433,676,1198,1874
2014,Biotechnology,4922,5763,10685,553,634,1187,5475,6397,11872
2014,Ed.of Blind a.Visually Imp.(cl.w.SF190 since 2016),11,29,40,,,,11,29,40
2014,Brewing Science/Beverage Technology,652,109,761,42,36,78,694,145,839
2014,Armed Forces Administration,136,154,290,,,,136,154,290
2014,Byzantine Studies,12,19,31,18,8,26,30,27,57
2014,Caritas Science,40,70,110,15,16,31,55,86,141
2014,Chemistry,24163,14740,38903,2829,2630,5459,26992,17370,44362
2014,Chemical Engineering/Chemical Process Technology,5821,2902,8723,777,723,1500,6598,3625,10223
2014,Computer Linguistics,628,446,1074,165,279,444,793,725,1518
2014,Computer and Communication Technology,2448,1240,3688,579,201,780,3027,1441,4468
2014,Danish,17,53,70,,,,17,53,70
2014,Performing Arts/Stagecraft/Directing,329,763,1092,140,274,414,469,1037,1506
2014,German as a Foreign or Second Language,230,1521,1751,230,935,1165,460,2456,2916
2014,Pastoral Care Studies,79,150,229,8,10,18,87,160,247
2014,Conducting,99,53,152,86,76,162,185,129,314
2014,Printing and Reproduction Technology,1100,876,1976,187,180,367,1287,1056,2343
2014,Gemstone and Jewellery Design,11,79,90,8,30,38,19,109,128
2014,Electrical Power Engineering,2248,327,2575,389,101,490,2637,428,3065
2014,Electrical Engineering/Electronics,49117,4585,53702,13075,2955,16030,62192,7540,69732
2014,Energy Process Engineering,6775,1379,8154,846,286,1132,7621,1665,9286
2014,Nutritional Science,341,2211,2552,45,193,238,386,2404,2790
2014,Adult Education and Extracurricular Youth Educat.,524,1735,2259,33,123,156,557,1858,2415
2014,Ed.of People w.Emot.Diff. (cl.w. SF190 since 2016),195,1001,1196,2,26,28,197,1027,1224
2014,Educational Science (Pedagogy),12862,46476,59338,691,3621,4312,13553,50097,63650
2014,Ethics,328,664,992,20,46,66,348,710,1058
2014,Ethnology,1102,3112,4214,160,399,559,1262,3511,4773
2014,European Ethnology and Cultural Studies,599,2111,2710,190,406,596,789,2517,3306
2014,European Economic Studies,2077,2080,4157,120,229,349,2197,2309,4506
2014,"Protestant Religious Pedagogy, Church Educat. Work",240,529,769,9,12,21,249,541,790
2014,"Protestant Theology, Protes. Religious Education",4782,7033,11815,404,261,665,5186,7294,12480
2014,Facility Management,1762,1188,2950,84,59,143,1846,1247,3093
2014,Automotive Technology,11154,669,11823,1986,267,2253,13140,936,14076
2014,Precision Engineering,578,30,608,94,9,103,672,39,711
2014,Manufacturing Technology/Production Engineering,6126,835,6961,1356,229,1585,7482,1064,8546
2014,Film and Television Studies,1223,1005,2228,138,202,340,1361,1207,2568
2014,Financial Administration,744,945,1689,,4,4,744,949,1693
2014,Finno-Ugrian Studies,38,119,157,8,15,23,46,134,180
2014,"Forest Science, Forestry",3597,1741,5338,410,321,731,4007,2062,6069
2014,French,1175,5835,7010,181,648,829,1356,6483,7839
2014,Horticulture,995,746,1741,97,90,187,1092,836,1928
2014,Ed.of Deaf a.Hearing Imp. (cl.w. SF190 since 2016),40,353,393,1,14,15,41,367,408
2014,Ed.Ment.Disabl./Pract.Work(cl.w. SF190 since 2016),279,1074,1353,2,8,10,281,1082,1363
2014,Geography,11119,9985,21104,538,576,1114,11657,10561,22218
2014,Geology/Palaeontology,437,258,695,141,91,232,578,349,927
2014,Geoecology,493,548,1041,25,26,51,518,574,1092
2014,Geophysics,1441,1507,2948,134,84,218,1575,1591,3166
2014,Geosciences general,6610,4035,10645,699,510,1209,7309,4545,11854
2014,German Studies/German,16105,52716,68821,1912,7359,9271,18017,60075,78092
2014,Singing,266,562,828,244,348,592,510,910,1420
2014,History,19024,14068,33092,1176,1419,2595,20200,15487,35687
2014,Health Education,445,2356,2801,6,52,58,451,2408,2859
2014,Health Technology,5151,4119,9270,901,626,1527,6052,4745,10797
2014,Health Science/Health Management,8714,20222,28936,570,1201,1771,9284,21423,30707
2014,Glass Technology/Ceramics,190,75,265,14,12,26,204,87,291
2014,Graphic Design/Communication Design,6563,9198,15761,726,1394,2120,7289,10592,17881
2014,Greek,254,227,481,39,79,118,293,306,599
2014,Primary School Education/Primary Level Education,601,3595,4196,13,94,107,614,3689,4303
2014,Domestic and Nutritional Sciences,1351,6101,7452,118,380,498,1469,6481,7950
2014,Domestic Science,50,170,220,,6,6,50,176,226
2014,Wood and Fibre Technology,920,152,1072,41,19,60,961,171,1132
2014,Timber Construction,644,109,753,14,2,16,658,111,769
2014,Wood Science,326,92,418,20,7,27,346,99,445
2014,Metallurgy and Foundry,690,205,895,233,124,357,923,329,1252
2014,Indology,72,110,182,21,26,47,93,136,229
2014,Industrial Design/Product Design,1722,1523,3245,236,309,545,1958,1832,3790
2014,Computer Science,68429,11970,80399,10862,3655,14517,79291,15625,94916
2014,Inf./Library Scien. (not at univ. of app.adm.sci.),681,2233,2914,39,147,186,720,2380,3100
2014,Computational Engineer./Technical Computer Science,7600,961,8561,1340,338,1678,8940,1299,10239
2014,Interior Architecture,401,2614,3015,66,327,393,467,2941,3408
2014,Internal Administration,1662,3126,4788,17,49,66,1679,3175,4854
2014,Instrumental Music,1354,1225,2579,1790,2443,4233,3144,3668,6812
2014,Interdisc. Studies (specialising in Engineering),10726,3356,14082,1601,767,2368,12327,4123,16450
